Well,Reaction,Amine_ID,Reagent_ID,SMILES,M+H
A1,Sulfonamide,1,1,O=C(C1CC(NS(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCN(c2ccccc2)CC1,440.2008
A2,Sulfonamide,2,1,CN1CCN(C(=O)C2CC(NS(=O)(=O)c3ccc4c(c3)CCC4)C2)CC1,378.1851
A3,Sulfonamide,3,1,O=C(C1CC(NS(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCN(c2ccccn2)CC1,441.196
A4,Sulfonamide,4,1,O=C(C1CC(NS(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCC[C@H]2CCCC[C@@H]21,417.2212
A5,Sulfonamide,5,1,O=C(C1CC(NS(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCOCC1,365.1535
A6,Sulfonamide,6,1,O=C(C1CC(NS(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCCC1,349.1586
A7,Sulfonamide,7,1,O=C(C1CC(NS(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCc2ccccc21,397.1586
A8,Amide,8,1,O=C(NC1CC(C(=O)N2CCc3ccccc32)C1)c1cn2ncccc2n1,362.1617
A9,Amide,9,2,O=C(NC1CC(C(=O)N2CCc3ccccc32)C1)C1CC2CCN1CC2,354.2181
A10,Amide,10,3,O=C(NC1CC(C(=O)N2CCc3ccccc32)C1)c1ccc(Br)cn1,400.066
A11,Amide,11,4,O=C(NC1CC(C(=O)N2CCc3ccccc32)C1)c1cc(Cl)cn2ccnc12,395.1275
A12,SNAr,12,1,Cc1cc(C(F)(F)F)nc(NC2CC(C(=O)N3CCc4ccccc43)C2)n1,377.1589
B1,Sulfonamide,1,1,O=C(C1CCCN(S(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCN(c2ccccc2)CC1,454.2164
B2,Sulfonamide,2,1,CN1CCN(C(=O)C2CCCN(S(=O)(=O)c3ccc4c(c3)CCC4)C2)CC1,392.2008
B3,Sulfonamide,3,1,O=C(C1CCCN(S(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCN(c2ccccn2)CC1,455.2117
B4,Sulfonamide,4,1,O=C(C1CCCN(S(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCC[C@H]2CCCC[C@@H]21,431.2368
B5,Sulfonamide,5,1,O=C(C1CCCN(S(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCOCC1,379.1691
B6,Sulfonamide,6,1,O=C(C1CCCN(S(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCCC1,363.1742
B7,Sulfonamide,7,1,O=C(C1CCCN(S(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCc2ccccc21,411.1742
B8,Amide,8,1,O=C(c1cn2ncccc2n1)N1CCCC(C(=O)N2CCc3ccccc32)C1,376.1773
B9,Amide,9,2,O=C(C1CC2CCN1CC2)N1CCCC(C(=O)N2CCc3ccccc32)C1,368.2338
B10,Amide,10,3,O=C(c1ccc(Br)cn1)N1CCCC(C(=O)N2CCc3ccccc32)C1,414.0817
B11,Amide,11,4,O=C(c1cc(Cl)cn2ccnc12)N1CCCC(C(=O)N2CCc3ccccc32)C1,409.1431
B12,SNAr,12,1,Cc1cc(C(F)(F)F)nc(N2CCCC(C(=O)N3CCc4ccccc43)C2)n1,391.1745
C1,Sulfonamide,1,1,O=C(C1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)CC1)N1CCN(c2ccccc2)CC1,454.2164
C2,Sulfonamide,2,1,CN1CCN(C(=O)C2CCN(S(=O)(=O)c3ccc4c(c3)CCC4)CC2)CC1,392.2008
C3,Sulfonamide,3,1,O=C(C1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)CC1)N1CCN(c2ccccn2)CC1,455.2117
C4,Sulfonamide,4,1,O=C(C1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)CC1)N1CCC[C@H]2CCCC[C@@H]21,431.2368
C5,Sulfonamide,5,1,O=C(C1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)CC1)N1CCOCC1,379.1691
C6,Sulfonamide,6,1,O=C(C1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)CC1)N1CCCC1,363.1742
C7,Sulfonamide,7,1,O=C(C1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)CC1)N1CCc2ccccc21,411.1742
C8,Amide,7,1,O=C(c1cn2ncccc2n1)N1CCC(C(=O)N2CCc3ccccc32)CC1,376.1773
C9,Amide,7,2,O=C(C1CC2CCN1CC2)N1CCC(C(=O)N2CCc3ccccc32)CC1,368.2338
C10,Amide,7,3,O=C(c1ccc(Br)cn1)N1CCC(C(=O)N2CCc3ccccc32)CC1,414.0817
C11,Amide,7,4,O=C(c1cc(Cl)cn2ccnc12)N1CCC(C(=O)N2CCc3ccccc32)CC1,409.1431
C12,SNAr,7,1,Cc1cc(C(F)(F)F)nc(N2CCC(C(=O)N3CCc4ccccc43)CC2)n1,391.1745
D1,Sulfonamide,1,1,O=C(C1CCCN1S(=O)(=O)c1ccc2c(c1)CCC2)N1CCN(c2ccccc2)CC1,440.2008
D2,Sulfonamide,2,1,CN1CCN(C(=O)C2CCCN2S(=O)(=O)c2ccc3c(c2)CCC3)CC1,378.1851
D3,Sulfonamide,3,1,O=C(C1CCCN1S(=O)(=O)c1ccc2c(c1)CCC2)N1CCN(c2ccccn2)CC1,441.196
D4,Sulfonamide,4,1,O=C(C1CCCN1S(=O)(=O)c1ccc2c(c1)CCC2)N1CCC[C@H]2CCCC[C@@H]21,417.2212
D5,Sulfonamide,5,1,O=C(C1CCCN1S(=O)(=O)c1ccc2c(c1)CCC2)N1CCOCC1,365.1535
D6,Sulfonamide,6,1,O=C(C1CCCN1S(=O)(=O)c1ccc2c(c1)CCC2)N1CCCC1,349.1586
D7,Sulfonamide,7,1,O=C(C1CCCN1S(=O)(=O)c1ccc2c(c1)CCC2)N1CCc2ccccc21,397.1586
D8,Amide,8,1,O=C(C1CCCN1C(=O)c1cn2ncccc2n1)N1CCc2ccccc21,362.1617
D9,Amide,9,2,O=C(C1CCCN1C(=O)C1CC2CCN1CC2)N1CCc2ccccc21,354.2181
D10,Amide,10,3,O=C(C1CCCN1C(=O)c1ccc(Br)cn1)N1CCc2ccccc21,400.066
D11,Amide,11,4,O=C(C1CCCN1C(=O)c1cc(Cl)cn2ccnc12)N1CCc2ccccc21,395.1275
D12,SNAr,12,1,Cc1cc(C(F)(F)F)nc(N2CCCC2C(=O)N2CCc3ccccc32)n1,377.1589
E1,Sulfonamide,1,1,O=C(C1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCN(c2ccccc2)CC1,440.2008
E2,Sulfonamide,2,1,CN1CCN(C(=O)C2CCN(S(=O)(=O)c3ccc4c(c3)CCC4)C2)CC1,378.1851
E3,Sulfonamide,3,1,O=C(C1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCN(c2ccccn2)CC1,441.196
E4,Sulfonamide,4,1,O=C(C1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCC[C@H]2CCCC[C@@H]21,417.2212
E5,Sulfonamide,5,1,O=C(C1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCOCC1,365.1535
E6,Sulfonamide,6,1,O=C(C1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)C1)N1CCCC1,349.1586
