Well,Amine_ID,Core_ID,SMILES,M+H
A1,1,1,CN(c1nc(Cl)nc(-c2ccccc2)n1)C1CCOCC1,305.1169
B1,2,1,Clc1nc(-c2ccccc2)nc(N2CCN(C3CC3)CC2)n1,316.1329
C1,3,1,COC1CCN(c2nc(Cl)nc(-c3ccccc3)n2)C1,291.1012
D1,4,1,CC(C)(C)OC(=O)N1CC2(CCN(c3nc(Cl)nc(-c4ccccc4)n3)C2)C1,402.1697
E1,5,1,COC(=O)C1CCC(Nc2nc(Cl)nc(-c3ccccc3)n2)CC1,347.1275
F1,6,1,Clc1nc(-c2ccccc2)nc(N2CCOCC2c2ccccc2)n1,353.1169
G1,7,1,Clc1nc(-c2ccccc2)nc(N2CCCc3ccccc32)n1,323.1063
H1,8,1,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCOCCOCCOCCOCCNc1nc(Cl)nc(-c2ccccc2)n1,652.2684
A2,1,2,CN(c1nc(Cl)nc2ccc(C(F)(F)F)cc12)C1CCOCC1,346.0934
B2,2,2,FC(F)(F)c1ccc2nc(Cl)nc(N3CCN(C4CC4)CC3)c2c1,357.1094
C2,3,2,COC1CCN(c2nc(Cl)nc3ccc(C(F)(F)F)cc23)C1,332.0777
D2,4,2,CC(C)(C)OC(=O)N1CC2(CCN(c3nc(Cl)nc4ccc(C(F)(F)F)cc34)C2)C1,443.1461
E2,5,2,COC(=O)C1CCC(Nc2nc(Cl)nc3ccc(C(F)(F)F)cc23)CC1,388.1039
F2,6,2,FC(F)(F)c1ccc2nc(Cl)nc(N3CCOCC3c3ccccc3)c2c1,394.0934
G2,7,2,FC(F)(F)c1ccc2nc(Cl)nc(N3CCCc4ccccc43)c2c1,364.0828
H2,8,2,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCOCCOCCOCCOCCNc1nc(Cl)nc2ccc(C(F)(F)F)cc12,693.2449
A3,1,3,Cc1cc(C(F)(F)F)nc(N(C)C2CCOCC2)n1,276.1323
B3,2,3,Cc1cc(C(F)(F)F)nc(N2CCN(C3CC3)CC2)n1,287.1483
C3,3,3,COC1CCN(c2nc(C)cc(C(F)(F)F)n2)C1,262.1167
D3,4,3,Cc1cc(C(F)(F)F)nc(N2CCC3(CN(C(=O)OC(C)(C)C)C3)C2)n1,373.1851
E3,5,3,COC(=O)C1CCC(Nc2nc(C)cc(C(F)(F)F)n2)CC1,318.1429
F3,6,3,Cc1cc(C(F)(F)F)nc(N2CCOCC2c2ccccc2)n1,324.1323
G3,7,3,Cc1cc(C(F)(F)F)nc(N2CCCc3ccccc32)n1,294.1218
H3,8,3,Cc1cc(C(F)(F)F)nc(NCCOCCOCCOCCOCCNC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@@H]32)n1,623.2838
A4,1,4,CN(c1nc(Cl)nc2ccccc12)C1CCOCC1,278.106
B4,2,4,Clc1nc(N2CCN(C3CC3)CC2)c2ccccc2n1,289.122
C4,3,4,COC1CCN(c2nc(Cl)nc3ccccc23)C1,264.0903
D4,4,4,CC(C)(C)OC(=O)N1CC2(CCN(c3nc(Cl)nc4ccccc34)C2)C1,375.1588
E4,5,4,COC(=O)C1CCC(Nc2nc(Cl)nc3ccccc23)CC1,320.1166
F4,6,4,Clc1nc(N2CCOCC2c2ccccc2)c2ccccc2n1,326.106
G4,7,4,Clc1nc(N2CCCc3ccccc32)c2ccccc2n1,296.0954
H4,8,4,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCOCCOCCOCCOCCNc1nc(Cl)nc2ccccc12,625.2575
A5,1,5,CN(c1nc(Cl)nc2cccc(F)c12)C1CCOCC1,296.0966
B5,2,5,Fc1cccc2nc(Cl)nc(N3CCN(C4CC4)CC3)c12,307.1126
C5,3,5,COC1CCN(c2nc(Cl)nc3cccc(F)c23)C1,282.0809
D5,4,5,CC(C)(C)OC(=O)N1CC2(CCN(c3nc(Cl)nc4cccc(F)c34)C2)C1,393.1493
E5,5,5,COC(=O)C1CCC(Nc2nc(Cl)nc3cccc(F)c23)CC1,338.1071
F5,6,5,Fc1cccc2nc(Cl)nc(N3CCOCC3c3ccccc3)c12,344.0966
G5,7,5,Fc1cccc2nc(Cl)nc(N3CCCc4ccccc43)c12,314.086
